timestamp,api,team,env,method,endpoint,status_code,error_type,root_cause,latency_ms
2024-01-01 00:00:00,user-api,team-delta,dev,PUT,/v1/real,401,ClientError,Invalid request,4538
2024-01-01 00:00:05,payment-api,team-gamma,dev,PUT,/v1/clearly,429,RateLimit,Too many requests,3363
2024-01-01 00:00:04,order-api,team-beta,dev,POST,/v1/design,401,AuthError,Invalid token,485
2024-01-01 00:00:15,auth-api,team-delta,staging,POST,/v1/too,502,ServerError,Null pointer exception,250
2024-01-01 00:00:08,payment-api,team-gamma,staging,POST,/v1/two,403,ClientError,Schema validation error,3720
2024-01-01 00:00:20,inventory-api,team-delta,dev,DELETE,/v1/play,500,ServerError,Internal service crash,6362
2024-01-01 00:00:30,payment-api,team-alpha,prod,PUT,/v1/no,404,ClientError,Invalid request,3393
2024-01-01 00:00:14,user-api,team-beta,dev,PUT,/v1/yourself,503,ServerError,Null pointer exception,440
2024-01-01 00:00:16,inventory-api,team-gamma,prod,PUT,/v1/money,504,Timeout,Gateway timeout,1489
2024-01-01 00:00:36,order-api,team-beta,prod,PUT,/v1/here,504,Timeout,Gateway timeout,351
2024-01-01 00:00:20,inventory-api,team-beta,dev,POST,/v1/here,401,ClientError,Missing parameter,2970
2024-01-01 00:00:11,user-api,team-gamma,staging,POST,/v1/minute,401,ClientError,Schema validation error,1495
2024-01-01 00:00:36,auth-api,team-beta,prod,DELETE,/v1/discover,504,Timeout,Upstream timeout,1996
2024-01-01 00:00:52,auth-api,team-alpha,dev,POST,/v1/until,404,ClientError,Invalid request,5293
2024-01-01 00:01:10,user-api,team-delta,prod,PUT,/v1/fall,502,ServerError,Database failure,4048
2024-01-01 00:01:00,payment-api,team-alpha,dev,PUT,/v1/knowledge,400,ClientError,Missing parameter,5240
2024-01-01 00:00:32,payment-api,team-alpha,staging,PUT,/v1/gun,502,ServerError,Null pointer exception,1413
2024-01-01 00:01:25,payment-api,team-gamma,prod,DELETE,/v1/serious,401,ClientError,Invalid request,690
2024-01-01 00:00:18,payment-api,team-beta,prod,POST,/v1/itself,429,RateLimit,Burst traffic detected,5891
2024-01-01 00:00:57,user-api,team-alpha,dev,PUT,/v1/sing,404,ClientError,Missing parameter,1914
2024-01-01 00:01:00,inventory-api,team-alpha,prod,POST,/v1/three,500,ServerError,Database failure,191
2024-01-01 00:01:03,payment-api,team-delta,staging,DELETE,/v1/none,404,ClientError,Missing parameter,7105
2024-01-01 00:01:50,user-api,team-delta,dev,GET,/v1/cultural,429,RateLimit,Too many requests,5601
2024-01-01 00:01:32,payment-api,team-delta,dev,PUT,/v1/his,504,Timeout,Slow network,3142
2024-01-01 00:00:24,inventory-api,team-gamma,prod,POST,/v1/financial,400,ClientError,Schema validation error,6183
2024-01-01 00:01:15,user-api,team-alpha,prod,PUT,/v1/choice,502,ServerError,Internal service crash,6713
2024-01-01 00:01:18,payment-api,team-gamma,prod,DELETE,/v1/cultural,503,ServerError,Null pointer exception,2873
2024-01-01 00:01:48,order-api,team-beta,prod,GET,/v1/two,429,RateLimit,Too many requests,5559
2024-01-01 00:01:52,auth-api,team-gamma,staging,PUT,/v1/first,429,RateLimit,Too many requests,3193
2024-01-01 00:02:25,order-api,team-beta,dev,PUT,/v1/hand,503,ServerError,Null pointer exception,1637
2024-01-01 00:02:30,inventory-api,team-delta,dev,POST,/v1/ahead,504,Timeout,Upstream timeout,2882
2024-01-01 00:01:02,payment-api,team-alpha,dev,GET,/v1/issue,401,AuthError,Missing authorization scope,1674
2024-01-01 00:02:40,payment-api,team-delta,prod,POST,/v1/staff,504,Timeout,Slow network,4422
2024-01-01 00:02:45,inventory-api,team-delta,dev,POST,/v1/want,400,ClientError,Missing parameter,633
2024-01-01 00:01:42,payment-api,team-gamma,prod,POST,/v1/eye,502,ServerError,Internal service crash,6368
