Timestamp;latency;status;method;endpoint
1402816554.293736;110;200;GET;Popular
1402815817.431805;214;400;GET;Popular
1402815857.63468;274;201;GET;Interact3
1402816131.30803;290;200;POST;Interact2
1402815636.195869;190;200;DELETE;Other
1402816582.830864;231;200;DELETE;Other
1402815657.91531;144;500;DELETE;Popular
1402816255.520427;273;200;GET;Interact3
1402815650.260635;257;200;GET;Other
1402816199.402345;253;400;GET;Interact3
1402815992.51873;51;405;POST;Interact2
1402816474.65646;248;200;DELETE;Interact3
1402815838.27286;84;201;POST;Interact1
1402816483.890477;275;400;POST;Interact3
1402816277.217563;119;200;PUT;Interact1
1402816218.193066;243;302;PUT;Popular
1402816554.277949;136;200;POST;Interact1
1402815680.304834;66;404;PUT;Popular
1402816266.479808;219;200;GET;Interact2
1402815878.290519;39;404;DELETE;Popular
1402816323.533095;60;200;PUT;Interact3
1402816037.452544;200;200;POST;Interact3
1402816460.827579;269;201;DELETE;Interact2
1402816272.686719;64;302;GET;Interact1
1402816320.913764;227;400;DELETE;Interact1
1402816232.09013;209;200;GET;Popular
1402815683.438422;126;400;PUT;Interact1
1402816099.325277;89;302;DELETE;Popular
1402816015.551365;160;200;GET;Interact3
1402815898.746809;238;200;PUT;Other
1402816059.764449;149;200;GET;Other
1402816028.778741;115;200;POST;Interact1
1402815929.12403;50;500;DELETE;Other
1402816102.979509;51;500;GET;Interact2
1402816345.352579;232;302;POST;Interact1
1402816087.598562;103;302;POST;Other
1402816521.852338;228;500;GET;Interact2
1402816275.834643;84;201;GET;Popular
1402816222.98069;270;302;DELETE;Interact3
1402816315.460004;175;405;GET;Other
1402816340.671813;235;404;PUT;Interact3
1402816183.1514;141;201;GET;Interact2
1402816039.41444;235;200;DELETE;Popular
1402816485.538064;100;200;PUT;Other
1402816302.088784;27;302;POST;Interact2
1402816437.95166;162;200;PUT;Popular
1402815924.038278;133;200;DELETE;Interact3
1402816388.94483;248;400;PUT;Popular
1402815851.830242;98;400;POST;Interact1
1402816530.739117;192;200;DELETE;Interact2
1402815772.673013;255;200;DELETE;Interact3
1402815695.146441;125;302;POST;Interact3
1402816519.725286;280;404;POST;Interact1
1402815978.637639;74;200;PUT;Interact1
1402816010.264597;159;400;DELETE;Other
1402815712.960514;167;500;PUT;Interact1
1402815787.160433;275;302;GET;Interact2
1402815862.293308;125;200;GET;Interact2
1402816169.759365;273;201;PUT;Popular
1402816597.763176;274;200;POST;Interact2
1402816213.007078;29;200;DELETE;Other
1402816246.93199;96;500;GET;Interact3
1402815607.509553;201;201;DELETE;Interact2
1402815603.36961;194;200;GET;Interact3
1402816495.035592;261;200;PUT;Interact2
1402815749.805119;270;302;DELETE;Popular
1402816445.538432;166;200;DELETE;Other
1402815609.068698;211;200;DELETE;Interact1
1402815853.715238;205;200;POST;Other
1402816303.534237;215;302;DELETE;Interact2
1402815691.519065;27;200;POST;Interact1
1402816066.156183;63;404;POST;Interact2
1402815928.779067;226;200;PUT;Interact1
1402815825.321374;159;200;PUT;Interact1
1402816387.00285;50;404;POST;Other
1402815889.828069;83;200;DELETE;Interact2
1402816051.433595;153;200;DELETE;Interact1
1402816218.554612;232;200;DELETE;Interact2
1402816452.406523;77;404;PUT;Popular
1402815720.453009;200;400;DELETE;Interact3
1402815681.333706;79;200;GET;Other
1402815659.610781;71;302;PUT;Interact2
1402815719.694072;20;200;GET;Interact1
1402816541.729993;281;404;POST;Other
1402816352.022471;121;302;POST;Interact2
1402816104.450861;188;405;DELETE;Popular
1402816135.966537;163;200;PUT;Popular
1402816503.936426;97;200;GET;Popular
1402816027.307813;189;200;DELETE;Popular
1402815637.694656;254;405;PUT;Interact2
1402815773.466986;222;400;GET;Interact1
1402816120.301004;42;200;GET;Interact3
1402815987.194174;279;200;DELETE;Popular
1402816496.134897;90;500;GET;Popular
1402816188.531898;257;302;POST;Interact2
1402815974.16155;131;200;GET;Interact1
1402815674.441114;64;200;GET;Interact1
1402815609.553375;103;201;DELETE;Interact1
1402815905.128006;120;201;POST;Interact2
1402816187.669696;77;404;GET;Interact1
1402816185.34241;272;302;DELETE;Interact3
1402816207.739205;271;400;PUT;Interact3
1402816156.337547;161;404;POST;Popular
1402815753.762767;292;200;PUT;Interact3
1402815833.137654;272;200;PUT;Popular
1402815676.734569;169;200;GET;Popular
1402816188.597489;58;404;PUT;Interact2
1402815672.124044;63;500;GET;Interact2
